code,name,lat,lng,iso_country,iso_region,municipality
ATE,Antlers Municipal Airport,34.19260025,-95.64990234,US,US-OK,Antlers
ATF,ChachoÃ¡n Airport,-1.212069988,-78.57460022,EC,EC-T,Ambato
ATG,Minhas Air Base,33.86909866,72.40090179,PK,PK-PB,Kamra
ATH,Eleftherios Venizelos International Airport,37.93640137,23.94449997,GR,GR-A1,Athens
ATI,Artigas International Airport,-30.40069962,-56.50790024,UY,UY-AR,Artigas
ATJ,Antsirabe Airport,-19.83922148,47.06371307,MG,MG-T,Antsirabe
ATK,Atqasuk Edward Burnell Sr Memorial Airport,70.46730042,-157.4360046,US,US-AK,Atqasuk
ATL,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,US,US-GA,Atlanta
ATM,Altamira Airport,-3.253910065,-52.25400162,BR,BR-PA,Altamira
ATN,Namatanai Airport,-3.6695,152.438,PG,PG-NIK,Namatanai
ATO,Ohio University Snyder Field,39.21099854,-82.23139954,US,US-OH,Athens/Albany
ATP,Aitape Airport,-3.143611111,142.3468056,PG,PG-SAN,Aitape
ATQ,Sri Guru Ram Dass Jee International Airport,31.70960045,74.79730225,IN,IN-PB,Amritsar
ATR,Atar International Airport,20.5067997,-13.04319954,MR,MR-07,Atar
ATS,Artesia Municipal Airport,32.85250092,-104.4680023,US,US-NM,Artesia
ATT,Atmautluak Airport,60.866699,-162.272995,US,US-AK,Atmautluak
ATU,Casco Cove Coast Guard Station,52.82839966,173.1799927,US,US-AK,Attu
ATV,Ati Airport,13.23890018,18.31329918,TD,TD-BA,Ati
ATW,Appleton International Airport,44.2580986,-88.51909637,US,US-WI,Appleton
ATX,Atbasar Airport,51.85169983,68.36329651,KZ,KZ-AKM,Atbasar
ATY,Watertown Regional Airport,44.91400146,-97.15470123,US,US-SD,Watertown
ATZ,Assiut International Airport,27.04649925,31.01199913,EG,EG-WAD,Assiut
AUA,Queen Beatrix International Airport,12.5014,-70.015198,AW,AW-U-A,Oranjestad
AUC,Santiago Perez Airport,7.06888,-70.7369,CO,CO-ARA,Arauca
AUD,Augustus Downs Airport,-18.51499939,139.878006,AU,AU-QLD,
AUE,Abu Rudeis Airport,28.89900017,33.20249939,EG,EG-JS,Abu Rudeis
AUF,Auxerre-Branches Airport,47.85020065,3.49710989,FR,FR-D,Auxerre/Branches
AUG,Augusta State Airport,44.3205986,-69.79730225,US,US-ME,Augusta
AUH,Abu Dhabi International Airport,24.43300056,54.65110016,AE,AE-AZ,Abu Dhabi
AUI,Aua Island Airport,-1.460555556,143.0647222,PG,PG-MRL,Aua Island
AUJ,Ambunti Airport,-4.215666667,142.8231667,PG,PG-ESW,Ambunti
AUK,Alakanuk Airport,62.68004227,-164.6599274,US,US-AK,Alakanuk
AUL,Aur Island Airport,8.145279884,171.1730042,MH,MH-AUR,Aur Atoll
AUM,Austin Municipal Airport,43.66500092,-92.93340302,US,US-MN,Austin
AUN,Auburn Municipal Airport,38.95479965,-121.0820007,US,US-CA,Auburn
AUO,Auburn Opelika Robert G. Pitts Airport,32.61510086,-85.43399811,US,US-AL,Auburn
AUP,Agaun Airport,-9.930833,149.385667,PG,PG-MBA,
AUQ,Hiva Oa-Atuona Airport,-9.768790245,-139.0110016,PF,PF-U-A,Hiva Oa Island
AUR,Aurillac Airport,44.89139938,2.421940088,FR,FR-C,Aurillac
AUS,Austin Robert Mueller Municipal,30.29872235,-97.69978523,US,US-TX,
AUS,Austin Bergstrom International Airport,30.19449997,-97.66989899,US,US-TX,Austin
AUT,Atauro Airport,-8.243133,125.606378,TL,TL-DI,Atauro
AUU,Aurukun Airport,-13.354067,141.72065,AU,AU-QLD,Aurukun
AUV,Aumo Airport,-5.731111111,148.4452778,PG,PG-WBK,Aumo
AUW,Wausau Downtown Airport,44.92620087,-89.62660217,US,US-WI,Wausau
AUX,AraguaÃ_na Airport,-7.22787,-48.240501,BR,BR-TO,AraguaÃ_na
AUY,Aneityum Airport,-20.24920082,169.7709961,VU,VU-TAE,Anatom Island
AUZ,Aurora Municipal Airport,41.77190018,-88.47570038,US,US-IL,Chicago/Aurora
AVA,Anshun Huangguoshu Airport,26.26055556,105.8733333,CN,CN-U-A,Anshun
AVB,Aviano Air Base,46.031898,12.596503,IT,IT-36,Aviano (PN)
AVG,Auvergne Airport,-15.69999981,130,AU,AU-NT,
AVI,Maximo Gomez Airport,22.02709961,-78.78959656,CU,CU-08,Ciego de Avila
AVK,Arvaikheer Airport,46.25030136,102.802002,MN,MN-055,Arvaikheer
AVL,Asheville Regional Airport,35.43619919,-82.54180145,US,US-NC,Asheville
AVN,Avignon-Caumont Airport,43.90729904,4.901830196,FR,FR-U,Avignon/Caumont
AVO,Avon Park Executive Airport,27.59119987,-81.52780151,US,US-FL,Avon Park
AVP,Wilkes Barre Scranton International Airport,41.33850098,-75.7233963,US,US-PA,Wilkes-Barre/Scranton
AVR,Alverca Air Base,38.883301,-9.0301,PT,PT-11,Vila Franca de Xira
AVU,Avu Avu Airport,-9.868333333,160.4105556,SB,SB-GU,
AVV,Avalon Airport,-38.039398,144.468994,AU,AU-VIC,Melbourne
AVW,Marana Regional Airport,32.4095993,-111.2180023,US,US-AZ,Tucson
AVX,Catalina Airport,33.4049,-118.416,US,US-CA,Avalon
AWA,Awassa Airport,7.066999912,38.5,ET,ET-OR,Awassa
AWB,Awaba Airport,-8.006110191,142.7483521,PG,PG-WPD,Awaba
AWD,Aniwa Airport,-19.2346,169.6009,VU,VU-TAE,Aniwa
AWE,Alowe Airport,-0.545,9.444,GA,GA-3,Wonga WonguÃ© Presidential Reserve
AWK,Wake Island Airfield,19.28210068,166.6360016,UM,UM-79,Wake Island
AWM,West Memphis Municipal Airport,35.13510132,-90.23439789,US,US-AR,West Memphis
AWN,Alton Downs Airport,-26.5333004,139.2669983,AU,AU-SA,
AWP,Austral Downs Airport,-20.5,137.75,AU,AU-NT,
AWR,Awar Airport,-4.124,144.853,PG,PG-MPM,Awar
AWZ,Ahwaz Airport,31.33740044,48.76200104,IR,IR-10,Ahwaz
AXA,Clayton J Lloyd International Airport,18.2048,-63.055099,AI,AI-U-A,The Valley
AXB,Maxson Airfield,44.312002,-75.90034,US,US-NY,Alexandria Bay
AXC,Aramac Airport,-22.9666996,145.2420044,AU,AU-QLD,
AXD,Dimokritos Airport,40.85589981,25.95630074,GR,GR-71,Alexandroupolis
AXE,XanxerÃª Airport,-26.87555695,-52.3730545,BR,BR-SC,XanxerÃª
AXF,Alxa Left Banner Bayanhot Airport,38.74831,105.58858,CN,CN-15,Bayanhot
AXG,Algona Municipal Airport,43.07789993,-94.27200317,US,US-IA,Algona
AXJ,Amakusa Airport,32.482498,130.158997,JP,JP-43,
AXK,Ataq Airport,14.55130005,46.82619858,YE,YE-AB,
AXL,Alexandria Homestead Airport,-19.06019974,136.7100067,AU,AU-NT,
AXM,El Eden Airport,4.45278,-75.7664,CO,CO-QUI,Armenia
AXN,Chandler Field,45.86629868,-95.3946991,US,US-MN,Alexandria
AXP,Spring Point Airport,22.44179916,-73.97090149,BS,BS-AC,Spring Point
AXR,Arutua Airport,-15.2482996,-146.6170044,PF,PF-U-A,
AXS,Altus Quartz Mountain Regional Airport,34.697952,-99.3385,US,US-OK,Altus
AXT,Akita Airport,39.61560059,140.2189941,JP,JP-05,Akita
AXU,Axum Airport,14.14680004,38.77280045,ET,ET-TI,
AXV,Neil Armstrong Airport,40.49340057,-84.29889679,US,US-OH,Wapakoneta
AXX,Angel Fire Airport,36.42200089,-105.2900009,US,US-NM,Angel Fire
AYA,Ayapel Airport,8.3,-75.15,CO,CO-COR,Ayapel
AYC,Ayacucho Airport,8.6,-73.616667,CO,CO-CES,Ayacucho
AYD,Alroy Downs Airport,-19.29080009,136.0789948,AU,AU-NT,Alroy Downs
AYE,Ft Devens Moore Army Air Field,42.56999969,-71.60279846,US,US-MA,
AYG,Yaguara Airport,1.54417,-73.9333,CO,CO-CAQ,San Vicente Del CaguÃ¡n
AYH,RAF Alconbury,52.37440109,-0.219722003,GB,GB-ENG,Huntingdon
AYI,Yari Airport,-0.383333,-72.266667,CO,CO-CAQ,Yari
AYK,Arkalyk North Airport,50.3185997,66.95279694,KZ,KZ-KUS,Arkalyk
AYL,Anthony Lagoon Airport,-18.01807903,135.5350685,AU,AU-NT,
AYM,Yas Island Seaplane Base,24.467,54.6103,AE,AE-AZ,Abu Dhabi
AYN,Anyang Airport,36.1339,114.344002,CN,CN-41,Anyang
AYO,Juan De Ayolas Airport,-27.370554,-56.854064,PY,PY-8,Ayolas
AYP,Coronel FAP Alfredo Mendivil Duarte Airport,-13.15480042,-74.20439911,PE,PE-AYA,Ayacucho
AYQ,Ayers Rock Connellan Airport,-25.1861,130.975998,AU,AU-NT,Ayers Rock
AYR,Ayr Airport,-19.58440018,147.3289948,AU,AU-QLD,
AYS,Waycross Ware County Airport,31.24909973,-82.39550018,US,US-GA,Waycross
AYT,Antalya International Airport,36.898701,30.800501,TR,TR-07,Antalya
AYU,Aiyura Airport,-6.338055556,145.9041667,PG,PG-EHG,Aiyura Valley
